a,w,t,label
-1.6,0.4,0.642,1
-1.6,0.5,0.642,1
-1.6,0.6,0.642,1
-1.6,0.7,0.642,1
-1.6,0.8,0.642,1
-1.6,0.9,0.642,1
-1.6,1,0.642,1
-1.6,1.1,0.642,1
-1.6,1.2,0.642,1
-1.6,1.3,0.642,1
-1.6,1.4,0.642,1
-1.6,1.5,0.642,1
-1.6,1.6,0.641,1
-1.6,1.7,0.642,1
-1.6,1.8,0.642,1
-1.6,1.9,0.642,1
-1.6,2,0.642,1
-1.5,-2,0.403,1
-1.5,-1.9,0.423,1
-1.5,-1.8,0.446,1
-1.5,-1.7,0.472,1
-1.5,-1.6,0.504,1
-1.5,-1.5,0.542,1
-1.5,-1.4,0.57,1
-1.5,-1.3,0.611,1
-1.5,-1.2,0.655,1
-1.5,-1.1,0.673,1
-1.5,-1,0.677,1
-1.5,-0.9,0.679,1
-1.5,-0.8,0.68,1
-1.5,-0.7,0.681,1
-1.5,-0.6,0.681,1
-1.5,-0.5,0.682,1
-1.5,-0.4,0.682,1
-1.5,-0.3,0.682,1
-1.5,-0.2,0.682,1
-1.5,-0.1,0.683,1
-1.5,0,0.683,1
-1.5,0.1,0.683,1
-1.5,0.2,0.683,1
-1.5,0.3,0.683,1
-1.5,0.4,0.683,1
-1.5,0.5,0.683,1
-1.5,0.6,0.683,1
-1.5,0.7,0.683,1
-1.5,0.8,0.683,1
-1.5,0.9,0.683,1
-1.5,1,0.683,1
-1.5,1.1,0.683,1
-1.5,1.2,0.683,1
-1.5,1.3,0.683,1
-1.5,1.4,0.683,1
-1.5,1.5,0.683,1
-1.5,1.6,0.683,1
-1.5,1.7,0.683,1
-1.5,1.8,0.683,1
-1.5,1.9,0.683,1
-1.5,2,0.683,1
-1.4,-2,0.403,1
-1.4,-1.9,0.423,1
-1.4,-1.8,0.446,1
-1.4,-1.7,0.472,1
-1.4,-1.6,0.501,1
-1.4,-1.5,0.533,1
-1.4,-1.4,0.578,1
-1.4,-1.3,0.613,1
-1.4,-1.2,0.661,1
-1.4,-1.1,0.708,1
-1.4,-1,0.721,1
-1.4,-0.9,0.725,1
-1.4,-0.8,0.727,1
-1.4,-0.7,0.728,1
-1.4,-0.6,0.728,1
-1.4,-0.5,0.729,1
-1.4,-0.4,0.729,1
-1.4,-0.3,0.73,1
-1.4,-0.2,0.73,1
-1.4,-0.1,0.73,1
-1.4,0,0.73,1
-1.4,0.1,0.73,1
-1.4,0.2,0.73,1
-1.4,0.3,0.731,1
-1.4,0.4,0.731,1
-1.4,0.5,0.731,1
-1.4,0.6,0.731,1
-1.4,0.7,0.731,1
-1.4,0.8,0.731,1
-1.4,0.9,0.731,1
-1.4,1,0.731,1
-1.4,1.1,0.731,1
-1.4,1.2,0.731,1
-1.4,1.3,0.731,1
-1.4,1.4,0.731,1
-1.4,1.5,0.731,1
-1.4,1.6,0.731,1
-1.4,1.7,0.731,1
-1.4,1.8,0.731,1
-1.4,1.9,0.731,1
-1.4,2,0.73,1
-1.3,-2,0.403,1
-1.3,-1.9,0.423,1
-1.3,-1.8,0.446,1
-1.3,-1.7,0.472,1
-1.3,-1.6,0.501,1
-1.3,-1.5,0.533,1
-1.3,-1.4,0.571,1
-1.3,-1.3,0.62,1
-1.3,-1.2,0.664,1
-1.3,-1.1,0.72,1
-1.3,-1,0.767,1
-1.3,-0.9,0.777,1
-1.3,-0.8,0.78,1
-1.3,-0.7,0.782,1
-1.3,-0.6,0.783,1
-1.3,-0.5,0.783,1
-1.3,-0.4,0.784,1
-1.3,-0.3,0.784,1
-1.3,-0.2,0.785,1
-1.3,-0.1,0.785,1
-1.3,0,0.785,1
-1.3,0.1,0.785,1
-1.3,0.2,0.785,1
-1.3,0.3,0.785,1
-1.3,0.4,0.785,1
-1.3,0.5,0.786,1
-1.3,0.6,0.786,1
-1.3,0.7,0.786,1
-1.3,0.8,0.786,1
-1.3,0.9,0.786,1
-1.3,1,0.786,1
-1.3,1.1,0.786,1
-1.3,1.2,0.786,1
-1.3,1.3,0.785,1
-1.3,1.4,0.786,1
-1.3,1.5,0.786,1
-1.3,1.6,0.785,1
-1.3,1.7,0.785,1
-1.3,1.8,0.785,1
-1.3,1.9,0.785,1
-1.3,2,0.785,1
-1.2,-2,0.403,1
-1.2,-1.9,0.423,1
-1.2,-1.8,0.446,1
-1.2,-1.7,0.472,1
-1.2,-1.6,0.501,1
-1.2,-1.5,0.533,1
-1.2,-1.4,0.571,1
-1.2,-1.3,0.614,1
-1.2,-1.2,0.668,1
-1.2,-1.1,0.724,1
-1.2,-1,0.789,1
-1.2,-0.9,0.835,1
-1.2,-0.8,0.842,1
-1.2,-0.7,0.845,1
-1.2,-0.6,0.846,1
-1.2,-0.5,0.847,1
-1.2,-0.4,0.848,1
-1.2,-0.3,0.848,1
-1.2,-0.2,0.848,1
-1.2,-0.1,0.849,1
-1.2,0,0.849,1
-1.2,0.1,0.849,1
-1.2,0.2,0.849,1
-1.2,0.3,0.849,1
-1.2,0.4,0.849,1
-1.2,0.5,0.849,1
-1.2,0.6,0.849,1
-1.2,0.7,0.85,1
-1.2,0.8,0.85,1
-1.2,0.9,0.85,1
-1.2,1,0.85,1
-1.2,1.1,0.849,1
-1.2,1.2,0.849,1
-1.2,1.3,0.85,1
-1.2,1.4,0.849,1
-1.2,1.5,0.849,1
-1.2,1.6,0.849,1
-1.2,1.7,0.849,1
-1.2,1.8,0.849,1
-1.2,1.9,0.849,1
-1.2,2,0.849,1
-1.1,-2,0.403,1
-1.1,-1.9,0.423,1
-1.1,-1.8,0.446,1
-1.1,-1.7,0.472,1
-1.1,-1.6,0.501,1
-1.1,-1.5,0.533,1
-1.1,-1.4,0.571,1
-1.1,-1.3,0.614,1
-1.1,-1.2,0.664,1
-1.1,-1.1,0.726,1
-1.1,-1,0.814,1
-1.1,-0.9,0.873,1
-1.1,-0.8,0.913,1
-1.1,-0.7,0.919,1
-1.1,-0.6,0.921,1
-1.1,-0.5,0.922,1
-1.1,-0.4,0.923,1
-1.1,-0.3,0.923,1
-1.1,-0.2,0.924,1
-1.1,-0.1,0.924,1
-1.1,0,0.924,1
-1.1,0.1,0.925,1
-1.1,0.2,0.925,1
-1.1,0.3,0.925,1
-1.1,0.4,0.925,1
-1.1,0.5,0.925,1
-1.1,0.6,0.925,1
-1.1,0.7,0.925,1
-1.1,0.8,0.925,1
-1.1,0.9,0.925,1
-1.1,1,0.924,1
-1.1,1.1,0.925,1
-1.1,1.2,0.925,1
-1.1,1.3,0.925,1
-1.1,1.4,0.925,1
-1.1,1.5,0.925,1
-1.1,1.6,0.925,1
-1.1,1.7,0.924,1
-1.1,1.8,0.924,1
-1.1,1.9,0.924,1
-1.1,2,0.923,1
-1,-2,0.403,1
-1,-1.9,0.424,1
-1,-1.8,0.446,1
-1,-1.7,0.472,1
-1,-1.6,0.501,1
-1,-1.5,0.533,1
-1,-1.4,0.571,1
-1,-1.3,0.614,1
-1,-1.2,0.664,1
-1,-1.1,0.723,1
-1,-1,0.794,1
-1,-0.9,0.893,1
-1,-0.8,0.976,1
-1,-0.7,1.006,1
-1,-0.6,1.01,1
-1,-0.5,1.012,1
-1,-0.4,1.013,1
-1,-0.3,1.014,1
-1,-0.2,1.014,1
-1,-0.1,1.015,1
-1,0,1.015,1
-1,0.1,1.015,1
-1,0.2,1.015,1
-1,0.3,1.016,1
-1,0.4,1.016,1
-1,0.5,1.016,1
-1,0.6,1.016,1
-1,0.7,1.016,1
-1,0.8,1.016,1
-1,0.9,1.015,1
-1,1,1.016,1
-1,1.1,1.016,1
-1,1.2,1.016,1
-1,1.3,1.016,1
-1,1.4,1.015,1
-1,1.5,1.015,1
-1,1.6,1.015,1
-1,1.7,1.015,1
-1,1.8,1.014,1
-1,1.9,1.014,1
-1,2,1.013,1
-0.9,-2,0.403,1
-0.9,-1.9,0.424,1
-0.9,-1.8,0.447,1
-0.9,-1.7,0.472,1
-0.9,-1.6,0.501,1
-0.9,-1.5,0.533,1
-0.9,-1.4,0.571,1
-0.9,-1.3,0.614,1
-0.9,-1.2,0.664,1
-0.9,-1.1,0.723,1
-0.9,-1,0.794,1
-0.9,-0.9,0.882,1
-0.9,-0.8,0.992,1
-0.9,-0.7,1.101,1
-0.9,-0.6,1.118,1
-0.9,-0.5,1.122,1
-0.9,-0.4,1.123,1
-0.9,-0.3,1.124,1
-0.9,-0.2,1.125,1
-0.9,-0.1,1.125,1
-0.9,0,1.126,1
-0.9,0.1,1.126,1
-0.9,0.2,1.126,1
-0.9,0.3,1.126,1
-0.9,0.4,1.127,1
-0.9,0.5,1.127,1
-0.9,0.6,1.127,1
-0.9,0.7,1.126,1
-0.9,0.8,1.126,1
-0.9,0.9,1.127,1
-0.9,1,1.127,1
-0.9,1.1,1.126,1
-0.9,1.2,1.126,1
-0.9,1.3,1.126,1
-0.9,1.4,1.126,1
-0.9,1.5,1.126,1
-0.9,1.6,1.125,1
-0.9,1.7,1.124,1
-0.9,1.8,1.123,1
-0.9,1.9,1.122,1
-0.9,2,1.119,1
-0.8,-2,0.403,1
-0.8,-1.9,0.424,1
-0.8,-1.8,0.447,1
-0.8,-1.7,0.473,1
-0.8,-1.6,0.502,1
-0.8,-1.5,0.534,1
-0.8,-1.4,0.571,1
-0.8,-1.3,0.614,1
-0.8,-1.2,0.664,1
-0.8,-1.1,0.723,1
-0.8,-1,0.794,1
-0.8,-0.9,0.881,1
-0.8,-0.8,0.99,1
-0.8,-0.7,1.128,1
-0.8,-0.6,1.247,1
-0.8,-0.5,1.258,1
-0.8,-0.4,1.261,1
-0.8,-0.3,1.262,1
-0.8,-0.2,1.263,1
-0.8,-0.1,1.264,1
-0.8,0,1.264,1
-0.8,0.1,1.265,1
