a,w,t
-1.5,-0.9,1.163
-1.5,-0.8,1.163
-1.5,-0.7,1.163
-1.5,-0.6,1.163
-1.5,-0.5,1.163
-1.5,-0.4,1.163
-1.5,-0.3,1.163
-1.5,-0.2,1.163
-1.5,-0.1,1.163
-1.5,0,1.163
-1.5,0.1,1.163
-1.5,0.2,1.162
-1.5,0.3,1.162
-1.5,0.4,1.162
-1.5,0.5,1.162
-1.5,0.6,1.161
-1.5,0.7,1.161
-1.5,0.8,1.16
-1.5,0.9,1.159
-1.5,1,1.157
-1.5,1.1,1.153
-1.5,1.2,1.134
-1.5,1.3,1.072
-1.5,1.4,1.009
-1.5,1.5,0.965
-1.5,1.6,1.16
-1.5,1.7,0.86
-1.5,1.8,1.161
-1.5,1.9,1.162
-1.5,2,1.162
-1.4,-2,1.21
-1.4,-1.9,1.211
-1.4,-1.8,1.211
-1.4,-1.7,1.211
-1.4,-1.6,1.211
-1.4,-1.5,1.211
-1.4,-1.4,1.211
-1.4,-1.3,1.211
-1.4,-1.2,1.211
-1.4,-1.1,1.211
-1.4,-1,1.211
-1.4,-0.9,1.211
-1.4,-0.8,1.211
-1.4,-0.7,1.211
-1.4,-0.6,1.211
-1.4,-0.5,1.211
-1.4,-0.4,1.211
-1.4,-0.3,1.211
-1.4,-0.2,1.21
-1.4,-0.1,1.21
-1.4,0,1.208
-1.4,0.1,1.21
-1.4,0.2,1.21
-1.4,0.3,1.21
-1.4,0.4,1.209
-1.4,0.5,1.209
-1.4,0.6,1.208
-1.4,0.7,1.208
-1.4,0.8,1.207
-1.4,0.9,1.205
-1.4,1,1.201
-1.4,1.1,1.188
-1.4,1.2,1.123
-1.4,1.3,1.05
-1.4,1.4,1.206
-1.4,1.5,0.929
-1.4,1.6,1.208
-1.4,1.7,1.209
-1.4,1.8,0.798
-1.4,1.9,1.21
-1.4,2,1.21
-1.3,-2,1.265
-1.3,-1.9,1.265
-1.3,-1.8,1.265
-1.3,-1.7,1.265
-1.3,-1.6,1.265
-1.3,-1.5,1.266
-1.3,-1.4,1.266
-1.3,-1.3,1.265
-1.3,-1.2,1.266
-1.3,-1.1,1.266
-1.3,-1,1.266
-1.3,-0.9,1.266
-1.3,-0.8,1.266
-1.3,-0.7,1.266
-1.3,-0.6,1.266
-1.3,-0.5,1.265
-1.3,-0.4,1.265
-1.3,-0.3,1.265
-1.3,-0.2,1.265
-1.3,-0.1,1.265
-1.3,0,1.266
-1.3,0.1,1.265
-1.3,0.2,1.264
-1.3,0.3,1.264
-1.3,0.4,1.264
