a,w,t,label
-1.7,1.6,0.609,1
-1.7,1.7,0.61,1
-1.7,1.8,0.608,1
-1.7,1.9,0.609,1
-1.7,2,0.61,1
-1.6,-2,0.649,1
-1.6,-1.9,0.647,1
-1.6,-1.8,0.647,1
-1.6,-1.7,0.022,1
-1.6,-1.6,0.651,1
-1.6,-1.5,0.649,1
-1.6,-1.4,0.645,1
-1.6,-1.3,0.647,1
-1.6,-1.2,0.645,1
-1.6,-1.1,0.657,1
-1.6,-1,0.648,1
-1.6,-0.9,0.646,1
-1.6,-0.8,0.645,1
-1.6,-0.7,0.646,1
-1.6,-0.6,0.645,1
-1.6,-0.5,0.648,1
-1.6,-0.4,0.647,1
-1.6,-0.3,0.646,1
-1.6,-0.2,0.647,1
-1.6,-0.1,0.647,1
-1.6,0,0.647,1
-1.6,0.1,0.647,1
-1.6,0.2,0.647,1
-1.6,0.3,0.646,1
-1.6,0.4,0.647,1
-1.6,0.5,0.645,1
-1.6,0.6,0.645,1
-1.6,0.7,0.645,1
-1.6,0.8,0.645,1
-1.6,0.9,0.646,1
-1.6,1,0.645,1
-1.6,1.1,0.645,1
-1.6,1.2,0.645,1
-1.6,1.3,0.645,1
-1.6,1.4,0.603,1
-1.6,1.5,0.645,1
-1.6,1.6,0.645,1
-1.6,1.7,0.646,1
-1.6,1.8,0.646,1
-1.6,1.9,0.645,1
-1.6,2,0.649,1
-1.5,-2,0.687,1
-1.5,-1.9,0.054,1
-1.5,-1.8,0.688,1
-1.5,-1.7,0.689,1
-1.5,-1.6,0.687,1
-1.5,-1.5,0.693,1
-1.5,-1.4,0.688,1
-1.5,-1.3,0.687,1
-1.5,-1.2,0.69,1
-1.5,-1.1,0.688,1
-1.5,-1,0.687,1
-1.5,-0.9,0.69,1
-1.5,-0.8,0.69,1
-1.5,-0.7,0.688,1
-1.5,-0.6,0.69,1
-1.5,-0.5,0.688,1
-1.5,-0.4,0.687,1
-1.5,-0.3,0.687,1
-1.5,-0.2,0.688,1
-1.5,-0.1,0.692,1
-1.5,0,0.687,1
-1.5,0.1,0.692,1
-1.5,0.2,0.688,1
-1.5,0.3,0.687,1
-1.5,0.4,0.687,1
-1.5,0.5,0.687,1
-1.5,0.6,0.687,1
-1.5,0.7,0.687,1
-1.5,0.8,0.687,1
-1.5,0.9,0.687,1
-1.5,1,0.687,1
-1.5,1.1,0.687,1
-1.5,1.2,0.675,1
-1.5,1.3,0.687,1
-1.5,1.4,0.624,1
-1.5,1.5,0.687,1
-1.5,1.6,0.687,1
-1.5,1.7,0.689,1
-1.5,1.8,0.687,1
-1.5,1.9,0.688,1
-1.5,2,0.689,1
-1.4,-2,0.735,1
-1.4,-1.9,0.735,1
-1.4,-1.8,0.735,1
-1.4,-1.7,0.05,1
-1.4,-1.6,0.735,1
-1.4,-1.5,0.735,1
-1.4,-1.4,0.735,1
-1.4,-1.3,0.742,1
-1.4,-1.2,0.736,1
-1.4,-1.1,0.738,1
-1.4,-1,0.738,1
-1.4,-0.9,0.741,1
-1.4,-0.8,0.735,1
-1.4,-0.7,0.735,1
-1.4,-0.6,0.735,1
-1.4,-0.5,0.735,1
-1.4,-0.4,0.735,1
-1.4,-0.3,0.735,1
-1.4,-0.2,0.737,1
-1.4,-0.1,0.737,1
-1.4,0,0.769,1
-1.4,0.1,0.737,1
-1.4,0.2,0.737,1
-1.4,0.3,0.735,1
-1.4,0.4,0.735,1
-1.4,0.5,0.735,1
-1.4,0.6,0.735,1
-1.4,0.7,0.735,1
-1.4,0.8,0.735,1
-1.4,0.9,0.735,1
-1.4,1,0.735,1
-1.4,1.1,0.732,1
-1.4,1.2,0.735,1
-1.4,1.3,0.735,1
-1.4,1.4,0.735,1
-1.4,1.5,0.735,1
-1.4,1.6,0.612,1
-1.4,1.7,0.739,1
-1.4,1.8,0.735,1
-1.4,1.9,0.735,1
-1.4,2,0.735,1
-1.3,-2,0.791,1
-1.3,-1.9,0.79,1
-1.3,-1.8,0.792,1
-1.3,-1.7,0.791,1
-1.3,-1.6,0.79,1
-1.3,-1.5,0.043,1
-1.3,-1.4,0.028,1
-1.3,-1.3,0.789,1
-1.3,-1.2,0.791,1
-1.3,-1.1,0.79,1
-1.3,-1,0.79,1
-1.3,-0.9,0.796,1
-1.3,-0.8,0.79,1
-1.3,-0.7,0.79,1
-1.3,-0.6,0.79,1
-1.3,-0.5,0.792,1
-1.3,-0.4,0.794,1
-1.3,-0.3,0.792,1
-1.3,-0.2,0.791,1
-1.3,-0.1,0.793,1
-1.3,0,0.793,1
-1.3,0.1,0.793,1
-1.3,0.2,0.791,1
-1.3,0.3,0.792,1
-1.3,0.4,0.79,1
-1.3,0.5,0.791,1
-1.3,0.6,0.79,1
-1.3,0.7,0.79,1
-1.3,0.8,0.79,1
-1.3,0.9,0.789,1
-1.3,1,0.789,1
-1.3,1.1,0.79,1
-1.3,1.2,0.789,1
-1.3,1.3,0.789,1
-1.3,1.4,0.79,1
-1.3,1.5,0.791,1
-1.3,1.6,0.79,1
-1.3,1.7,0.791,1
-1.3,1.8,0.794,1
-1.3,1.9,0.598,1
-1.3,2,0.791,1
-1.2,-2,0.105,1
-1.2,-1.9,0.862,1
-1.2,-1.8,0.854,1
-1.2,-1.7,0.856,1
-1.2,-1.6,0.859,1
-1.2,-1.5,0.855,1
-1.2,-1.4,0.854,1
-1.2,-1.3,0.031,1
-1.2,-1.2,0.856,1
-1.2,-1.1,0.854,1
-1.2,-1,0.857,1
-1.2,-0.9,0.862,1
-1.2,-0.8,0.858,1
-1.2,-0.7,0.859,1
-1.2,-0.6,0.855,1
-1.2,-0.5,0.854,1
-1.2,-0.4,0.855,1
-1.2,-0.3,0.856,1
-1.2,-0.2,0.855,1
-1.2,-0.1,0.855,1
-1.2,0,0.86,1
-1.2,0.1,0.855,1
-1.2,0.2,0.855,1
-1.2,0.3,0.855,1
-1.2,0.4,0.854,1
-1.2,0.5,0.854,1
-1.2,0.6,0.855,1
-1.2,0.7,0.854,1
-1.2,0.8,0.854,1
-1.2,0.9,0.853,1
-1.2,1,0.854,1
-1.2,1.1,0.854,1
-1.2,1.2,0.756,1
-1.2,1.3,0.857,1
-1.2,1.4,0.854,1
-1.2,1.5,0.854,1
-1.2,1.6,0.859,1
-1.2,1.7,0.857,1
-1.2,1.8,0.856,1
-1.2,1.9,0.862,1
-1.2,2,0.616,1
-1.1,-2,0.929,1
-1.1,-1.9,0.929,1
-1.1,-1.8,0.929,1
-1.1,-1.7,0.931,1
-1.1,-1.6,0.932,1
-1.1,-1.5,0.929,1
-1.1,-1.4,0.071,1
-1.1,-1.3,0.931,1
-1.1,-1.2,0.929,1
-1.1,-1.1,0.929,1
-1.1,-1,0.929,1
-1.1,-0.9,0.931,1
-1.1,-0.8,0.936,1
-1.1,-0.7,0.933,1
-1.1,-0.6,0.93,1
-1.1,-0.5,0.929,1
-1.1,-0.4,0.929,1
-1.1,-0.3,0.93,1
-1.1,-0.2,0.933,1
-1.1,-0.1,0.93,1
-1.1,0,0.931,1
-1.1,0.1,0.929,1
-1.1,0.2,0.933,1
-1.1,0.3,0.93,1
-1.1,0.4,0.929,1
-1.1,0.5,0.929,1
-1.1,0.6,0.929,1
-1.1,0.7,0.929,1
-1.1,0.8,0.929,1
-1.1,0.9,0.901,1
-1.1,1,0.929,1
-1.1,1.1,0.823,1
-1.1,1.2,0.929,1
-1.1,1.3,0.931,1
-1.1,1.4,0.934,1
-1.1,1.5,0.93,1
-1.1,1.6,0.932,1
-1.1,1.7,0.931,1
-1.1,1.8,0.929,1
-1.1,1.9,0.933,1
-1.1,2,0.93,1
-1,-2,1.021,1
-1,-1.9,1.02,1
-1,-1.8,1.026,1
-1,-1.7,1.02,1
-1,-1.6,1.022,1
-1,-1.5,0.109,1
-1,-1.4,1.02,1
-1,-1.3,1.02,1
-1,-1.2,0.063,1
-1,-1.1,1.02,1
-1,-1,1.023,1
-1,-0.9,1.023,1
-1,-0.8,1.024,1
-1,-0.7,1.021,1
-1,-0.6,1.025,1
-1,-0.5,1.023,1
-1,-0.4,1.02,1
-1,-0.3,1.021,1
-1,-0.2,1.026,1
-1,-0.1,1.024,1
-1,0,1.029,1
-1,0.1,1.024,1
-1,0.2,1.02,1
-1,0.3,1.02,1
-1,0.4,1.02,1
-1,0.5,1.02,1
-1,0.6,1.02,1
-1,0.7,1.02,1
-1,0.8,1.002,1
-1,0.9,0.953,1
-1,1,1.022,1
-1,1.1,1.02,1
-1,1.2,0.836,1
-1,1.3,1.02,1
-1,1.4,0.787,1
-1,1.5,1.025,1
-1,1.6,1.025,1
-1,1.7,1.027,1
-1,1.8,1.021,1
-1,1.9,1.022,1
-1,2,1.024,1
-0.9,-2,1.131,1
-0.9,-1.9,1.131,1
-0.9,-1.8,0.156,1
-0.9,-1.7,1.131,1
-0.9,-1.6,0.145,1
-0.9,-1.5,1.131,1
-0.9,-1.4,1.132,1
-0.9,-1.3,1.131,1
-0.9,-1.2,1.131,1
-0.9,-1.1,0.074,1
-0.9,-1,0.046,1
-0.9,-0.9,1.133,1
-0.9,-0.8,1.137,1
-0.9,-0.7,1.131,1
-0.9,-0.6,1.133,1
-0.9,-0.5,1.132,1
-0.9,-0.4,1.133,1
-0.9,-0.3,1.133,1
-0.9,-0.2,1.136,1
-0.9,-0.1,1.135,1
-0.9,0,1.131,1
-0.9,0.1,1.133,1
-0.9,0.2,1.133,1
-0.9,0.3,1.132,1
-0.9,0.4,1.131,1
-0.9,0.5,1.131,1
-0.9,0.6,1.131,1
-0.9,0.7,1.13,1
-0.9,0.8,1.131,1
-0.9,0.9,1.002,1
-0.9,1,1.131,1
-0.9,1.1,0.921,1
-0.9,1.2,0.89,1
-0.9,1.3,0.861,1
-0.9,1.4,1.132,1
-0.9,1.5,0.818,1
-0.9,1.6,1.132,1
-0.9,1.7,1.132,1
-0.9,1.8,0.764,1
-0.9,1.9,0.748,1
-0.9,2,1.131,1
-0.8,-2,1.269,1
-0.8,-1.9,1.259,1
-0.8,-1.8,1.268,1
-0.8,-1.7,0.179,1
-0.8,-1.6,1.269,1
-0.8,-1.5,0.168,1
-0.8,-1.4,1.27,1
-0.8,-1.3,1.27,1
-0.8,-1.2,1.27,1
-0.8,-1.1,0.114,1
-0.8,-1,1.272,1
-0.8,-0.9,0.055,1
-0.8,-0.8,1.271,1
-0.8,-0.7,1.271,1
-0.8,-0.6,1.27,1
-0.8,-0.5,1.282,1
-0.8,-0.4,1.273,1
-0.8,-0.3,1.27,1
-0.8,-0.2,1.271,1
-0.8,-0.1,1.271,1
-0.8,0,1.27,1
-0.8,0.1,1.271,1
-0.8,0.2,1.271,1
-0.8,0.3,1.27,1
-0.8,0.4,1.27,1
-0.8,0.5,1.27,1
-0.8,0.6,1.27,1
-0.8,0.7,1.197,1
-0.8,0.8,1.126,1
-0.8,0.9,1.07,1
-0.8,1,1.272,1
-0.8,1.1,0.988,1
-0.8,1.2,0.955,1
-0.8,1.3,1.273,1
-0.8,1.4,1.275,1
-0.8,1.5,0.88,1
-0.8,1.6,0.857,1
-0.8,1.7,1.271,1
-0.8,1.8,1.269,1
-0.8,1.9,1.269,1
-0.8,2,1.269,1
-0.7,-2,0.21,1
-0.7,-1.9,1.447,1
-0.7,-1.8,1.448,1
-0.7,-1.7,0.21,1
-0.7,-1.6,1.447,1
-0.7,-1.5,0.204,1
-0.7,-1.4,0.198,1
-0.7,-1.3,1.453,1
-0.7,-1.2,1.45,1
-0.7,-1.1,1.453,1
-0.7,-1,1.451,1
-0.7,-0.9,0.109,1
-0.7,-0.8,1.449,1
-0.7,-0.7,1.452,1
-0.7,-0.6,1.453,1
-0.7,-0.5,1.45,1
-0.7,-0.4,1.449,1
-0.7,-0.3,1.449,1
-0.7,-0.2,1.45,1
-0.7,-0.1,1.449,1
-0.7,0,1.452,1
-0.7,0.1,1.449,1
-0.7,0.2,1.45,1
-0.7,0.3,1.449,1
-0.7,0.4,1.449,1
-0.7,0.5,1.449,1
-0.7,0.6,1.379,1
-0.7,0.7,1.285,1
-0.7,0.8,1.214,1
-0.7,0.9,1.157,1
-0.7,1,1.45,1
-0.7,1.1,1.072,1
-0.7,1.2,1.45,1
-0.7,1.3,1.006,1
-0.7,1.4,0.978,1
-0.7,1.5,0.952,1
-0.7,1.6,1.447,1
-0.7,1.7,0.904,1
-0.7,1.8,1.446,1
-0.7,1.9,1.446,1
-0.7,2,1.448,1
-0.6,-2,1.422,1
-0.6,-1.9,1.689,1
-0.6,-1.8,1.685,1
-0.6,-1.7,1.534,1
-0.6,-1.6,1.578,1
-0.6,-1.5,0.244,1
-0.6,-1.4,1.685,1
-0.6,-1.3,0.237,1
-0.6,-1.2,1.686,1
-0.6,-1.1,1.687,1
-0.6,-1,0.2,1
-0.6,-0.9,0.175,1
-0.6,-0.8,0.139,1
-0.6,-0.7,0.086,1
-0.6,-0.6,1.688,1
-0.6,-0.5,1.688,1
-0.6,-0.4,1.69,1
-0.6,-0.3,1.693,1
-0.6,-0.2,1.688,1
-0.6,-0.1,1.687,1
-0.6,0,1.687,1
-0.6,0.1,1.687,1
-0.6,0.2,1.688,1
-0.6,0.3,1.687,1
-0.6,0.4,1.688,1
-0.6,0.5,1.628,1
-0.6,0.6,1.497,1
-0.6,0.7,1.402,1
-0.6,0.8,1.33,1
-0.6,0.9,1.271,1
-0.6,1,1.222,1
-0.6,1.1,1.18,1
-0.6,1.2,1.14,1
-0.6,1.3,1.104,1
-0.6,1.4,1.071,1
-0.6,1.5,1.04,1
-0.6,1.6,1.685,1
-0.6,1.7,0.982,1
-0.6,1.8,1.686,1
-0.6,1.9,1.685,1
-0.6,2,0.901,1
-0.5,-2,0,0
-0.5,-1.9,1.598,1
-0.5,-1.8,0,0
-0.5,-1.7,1.688,1
-0.5,-1.6,0,0
-0.5,-1.5,0.288,1
-0.5,-1.4,1.848,1
-0.5,-1.3,0.291,1
-0.5,-1.2,0.289,1
-0.5,-1.1,0,0
-0.5,-1,0.273,1
-0.5,-0.9,0.255,1
-0.5,-0.8,0.227,1
-0.5,-0.7,0.183,1
-0.5,-0.6,0.116,1
-0.5,-0.5,0,0
-0.5,-0.4,0,0
-0.5,-0.3,0,0
-0.5,-0.2,0,0
-0.5,-0.1,0,0
-0.5,0,0,0
-0.5,0.1,0,0
-0.5,0.2,0,0
-0.5,0.3,0,0
-0.5,0.4,1.991,1
-0.5,0.5,1.795,1
-0.5,0.6,1.662,1
-0.5,0.7,1.564,1
-0.5,0.8,1.485,1
-0.5,0.9,1.422,1
-0.5,1,1.366,1
-0.5,1.1,1.316,1
-0.5,1.2,1.269,1
-0.5,1.3,0,0
-0.5,1.4,1.183,1
-0.5,1.5,0,0
-0.5,1.6,1.104,1
-0.5,1.7,1.067,1
-0.5,1.8,0,0
-0.5,1.9,0.998,1
-0.5,2,1.99,1
-0.4,-2,0.292,1
-0.4,-1.9,0,0
-0.4,-1.8,1.816,1
-0.4,-1.7,0.318,1
-0.4,-1.6,0.327,1
-0.4,-1.5,0,0
-0.4,-1.4,0.344,1
-0.4,-1.3,0.351,1
-0.4,-1.2,0.357,1
-0.4,-1.1,0,0
-0.4,-1,0.36,1
-0.4,-0.9,0.354,1
-0.4,-0.8,0.339,1
-0.4,-0.7,0.309,1
-0.4,-0.6,0.257,1
-0.4,-0.5,0.167,1
-0.4,-0.4,0,0
-0.4,-0.3,0,0
-0.4,-0.2,0,0
-0.4,-0.1,0,0
-0.4,0,0,0
-0.4,0.1,0,0
-0.4,0.2,0,0
-0.4,0.3,0,0
-0.4,0.4,0,0
-0.4,0.5,0,0
-0.4,0.6,1.901,1
-0.4,0.7,1.794,1
-0.4,0.8,1.706,1
-0.4,0.9,1.628,1
-0.4,1,1.556,1
-0.4,1.1,1.489,1
-0.4,1.2,1.426,1
-0.4,1.3,1.366,1
-0.4,1.4,1.309,1
-0.4,1.5,0,0
-0.4,1.6,1.204,1
-0.4,1.7,0,0
-0.4,1.8,0,0
-0.4,1.9,0,0
-0.4,2,1.026,1
-0.3,-2,1.815,1
-0.3,-1.9,0,0
-0.3,-1.8,1.977,1
-0.3,-1.7,0,0
-0.3,-1.6,0,0
-0.3,-1.5,0.386,1
-0.3,-1.4,0.401,1
-0.3,-1.3,0,0
-0.3,-1.2,0.432,1
-0.3,-1.1,0.447,1
-0.3,-1,0.461,1
-0.3,-0.9,0.472,1
-0.3,-0.8,0.477,1
-0.3,-0.7,0.472,1
-0.3,-0.6,0.448,1
-0.3,-0.5,0.389,1
-0.3,-0.4,0.266,1
-0.3,-0.3,0,0
-0.3,-0.2,0,0
-0.3,-0.1,0,0
-0.3,0,0,0
-0.3,0.1,0,0
-0.3,0.2,0,0
-0.3,0.3,0,0
-0.3,0.4,0,0
-0.3,0.5,0,0
-0.3,0.6,0,0
-0.3,0.7,0,0
-0.3,0.8,0,0
-0.3,0.9,1.897,1
-0.3,1,1.792,1
-0.3,1.1,1.694,1
-0.3,1.2,1.602,1
-0.3,1.3,1.516,1
-0.3,1.4,1.437,1
-0.3,1.5,1.364,1
-0.3,1.6,0,0
-0.3,1.7,1.236,1
-0.3,1.8,0,0
-0.3,1.9,0,0
-0.3,2,0,0
-0.2,-2,0,0
-0.2,-1.9,0.364,1
-0.2,-1.8,0.38,1
-0.2,-1.7,0,0
-0.2,-1.6,0,0
-0.2,-1.5,0.437,1
-0.2,-1.4,0,0
-0.2,-1.3,0,0
-0.2,-1.2,0,0
-0.2,-1.1,0.541,1
-0.2,-1,0.573,1
-0.2,-0.9,0.607,1
-0.2,-0.8,0.643,1
-0.2,-0.7,0.676,1
-0.2,-0.6,0.703,1
-0.2,-0.5,0.709,1
-0.2,-0.4,0.665,1
-0.2,-0.3,0.501,1
-0.2,-0.2,0,0
-0.2,-0.1,0,0
-0.2,0,0,0
-0.2,0.1,0,0
-0.2,0.2,0,0
-0.2,0.3,0,0
-0.2,0.4,0,0
-0.2,0.5,0,0
-0.2,0.6,0,0
-0.2,0.7,0,0
-0.2,0.8,0,0
-0.2,0.9,0,0
-0.2,1,0,0
-0.2,1.1,1.893,1
-0.2,1.2,1.763,1
-0.2,1.3,1.649,1
-0.2,1.4,1.547,1
-0.2,1.5,1.457,1
-0.2,1.6,1.376,1
-0.2,1.7,1.303,1
-0.2,1.8,0,0
-0.2,1.9,1.178,1
-0.2,2,1.124,1
-0.1,-2,0,0
-0.1,-1.9,0,0
-0.1,-1.8,0.414,1
-0.1,-1.7,0,0
-0.1,-1.6,0,0
-0.1,-1.5,0,0
-0.1,-1.4,0.517,1
-0.1,-1.3,0.551,1
-0.1,-1.2,0,0
-0.1,-1.1,0.636,1
-0.1,-1,0.688,1
-0.1,-0.9,0.75,1
-0.1,-0.8,0.822,1
-0.1,-0.7,0.909,1
-0.1,-0.6,1.013,1
-0.1,-0.5,1.136,1
-0.1,-0.4,1.274,1
-0.1,-0.3,1.392,1
-0.1,-0.2,1.315,1
-0.1,-0.1,0.02,1
-0.1,0,0,0
-0.1,0.1,0,0
-0.1,0.2,0,0
-0.1,0.3,0,0
-0.1,0.4,0,0
-0.1,0.5,0,0
-0.1,0.6,0,0
-0.1,0.7,0,0
-0.1,0.8,0,0
-0.1,0.9,0,0
-0.1,1,0,0
-0.1,1.1,0,0
-0.1,1.2,0,0
-0.1,1.3,0,0
-0.1,1.4,1.632,1
-0.1,1.5,1.528,1
-0.1,1.6,0,0
-0.1,1.7,0,0
-0.1,1.8,0,0
-0.1,1.9,0,0
-0.1,2,0,0
0,-2,0,0
0,-1.9,0.423,1
0,-1.8,0.446,1
0,-1.7,0,0
0,-1.6,0,0
0,-1.5,0.533,1
0,-1.4,0,0
0,-1.3,0,0
0,-1.2,0.664,1
0,-1.1,0.724,1
0,-1,0.795,1
0,-0.9,0.883,1
0,-0.8,0.992,1
0,-0.7,1.132,1
0,-0.6,1.318,1
0,-0.5,1.579,1
0,-0.4,1.97,1
0,-0.3,0,0
0,-0.2,0,0
0,-0.1,0,0
0,0,0.02,1
0,0.1,0,0
0,0.2,0,0
0,0.3,0,0
0,0.4,0,0
0,0.5,0,0
0,0.6,0,0
0,0.7,0,0
0,0.8,0,0
0,0.9,0,0
0,1,0,0
0,1.1,0,0
0,1.2,1.973,1
0,1.3,1.822,1
0,1.4,0,0
0,1.5,0,0
0,1.6,0,0
0,1.7,0,0
0,1.8,0,0
0,1.9,0,0
0,2,0,0
0.1,-2,0,0
0.1,-1.9,0,0
0.1,-1.8,0,0
0.1,-1.7,0,0
0.1,-1.6,0,0
0.1,-1.5,0.575,1
0.1,-1.4,0,0
0.1,-1.3,0.669,1
0.1,-1.2,0.729,1
0.1,-1.1,0,0
0.1,-1,0.888,1
0.1,-0.9,0.996,1
0.1,-0.8,1.132,1
0.1,-0.7,1.311,1
0.1,-0.6,1.556,1
0.1,-0.5,1.911,1
0.1,-0.4,0,0
0.1,-0.3,0,0
0.1,-0.2,0,0
0.1,-0.1,0,0
0.1,0,0,0
0.1,0.1,0.02,1
0.1,0.2,0,0
0.1,0.3,0,0
0.1,0.4,0,0
0.1,0.5,0,0
0.1,0.6,0,0
0.1,0.7,0,0
0.1,0.8,0,0
0.1,0.9,0,0
0.1,1,0,0
0.1,1.1,0,0
0.1,1.2,0,0
0.1,1.3,0,0
0.1,1.4,0,0
0.1,1.5,0,0
0.1,1.6,1.516,1
0.1,1.7,1.426,1
0.1,1.8,1.346,1
0.1,1.9,0,0
0.1,2,0,0
0.2,-2,0.448,1
0.2,-1.9,0,0
0.2,-1.8,0,0
0.2,-1.7,0,0
0.2,-1.6,0.57,1
0.2,-1.5,0.612,1
0.2,-1.4,0.66,1
0.2,-1.3,0,0
0.2,-1.2,0.784,1
0.2,-1.1,0.865,1
0.2,-1,0.963,1
0.2,-0.9,1.084,1
0.2,-0.8,1.239,1
0.2,-0.7,1.443,1
0.2,-0.6,1.723,1
0.2,-0.5,0,0
0.2,-0.4,0,0
0.2,-0.3,0,0
0.2,-0.2,0,0
0.2,-0.1,0,0
0.2,0,0,0
0.2,0.1,1.847,1
0.2,0.2,0,0
0.2,0.3,0,0
0.2,0.4,0,0
0.2,0.5,0,0
0.2,0.6,0,0
0.2,0.7,0,0
0.2,0.8,0,0
0.2,0.9,0,0
0.2,1,0,0
0.2,1.1,0,0
0.2,1.2,0,0
0.2,1.3,0,0
0.2,1.4,1.767,1
0.2,1.5,0,0
0.2,1.6,0,0
0.2,1.7,1.449,1
0.2,1.8,1.367,1
0.2,1.9,0,0
0.2,2,1.228,1
0.3,-2,0,0
0.3,-1.9,0,0
0.3,-1.8,0,0
0.3,-1.7,0,0
0.3,-1.6,0.599,1
0.3,-1.5,0.644,1
0.3,-1.4,0.696,1
0.3,-1.3,0,0
0.3,-1.2,0.83,1
0.3,-1.1,0.917,1
0.3,-1,0,0
0.3,-0.9,1.153,1
0.3,-0.8,1.32,1
0.3,-0.7,1.539,1
0.3,-0.6,1.839,1
0.3,-0.5,0,0
0.3,-0.4,0,0
0.3,-0.3,0,0
0.3,-0.2,0,0
0.3,-0.1,0,0
0.3,0,0,0
0.3,0.1,0,0
0.3,0.2,0.603,1
0.3,0.3,0,0
