a,w,t,label
-2,-2,0.521,1
-2,-1.9,0.521,1
-2,-1.8,0.524,1
-2,-1.7,0.52,1
-2,-1.6,0.521,1
-2,-1.5,0.52,1
-2,-1.4,0.521,1
-2,-1.3,0.52,1
-2,-1.2,0.521,1
-2,-1.1,0.52,1
-2,-1,0.521,1
-2,-0.9,0.524,1
-2,-0.8,0.526,1
-2,-0.7,0.522,1
-2,-0.6,0.523,1
-2,-0.5,0.522,1
-2,-0.4,0.532,1
-2,-0.3,0.521,1
-2,-0.2,0.521,1
-2,-0.1,0.522,1
-2,0,0.529,1
-2,0.1,0.522,1
-2,0.2,0.521,1
-2,0.3,0.521,1
-2,0.4,0.524,1
-2,0.5,0.521,1
-2,0.6,0.52,1
-2,0.7,0.522,1
-2,0.8,0.522,1
-2,0.9,0.52,1
-2,1,0.52,1
-2,1.1,0.52,1
-2,1.2,0.52,1
-2,1.3,0.52,1
-2,1.4,0.52,1
-2,1.5,0.52,1
-2,1.6,0.511,1
-2,1.7,0.52,1
-2,1.8,0.52,1
-2,1.9,0.52,1
-2,2,0.52,1
-1.9,-2,0.551,1
-1.9,-1.9,0.555,1
-1.9,-1.8,0.547,1
-1.9,-1.7,0.551,1
-1.9,-1.6,0.549,1
-1.9,-1.5,0.551,1
-1.9,-1.4,0.548,1
-1.9,-1.3,0.551,1
-1.9,-1.2,0.549,1
-1.9,-1.1,0.547,1
-1.9,-1,0.547,1
-1.9,-0.9,0.55,1
-1.9,-0.8,0.547,1
-1.9,-0.7,0.548,1
-1.9,-0.6,0.547,1
-1.9,-0.5,0.547,1
-1.9,-0.4,0.547,1
-1.9,-0.3,0.549,1
-1.9,-0.2,0.548,1
-1.9,-0.1,0.548,1
-1.9,0,0.547,1
-1.9,0.1,0.548,1
-1.9,0.2,0.548,1
-1.9,0.3,0.549,1
-1.9,0.4,0.547,1
-1.9,0.5,0.547,1
-1.9,0.6,0.547,1
-1.9,0.7,0.547,1
-1.9,0.8,0.547,1
-1.9,0.9,0.547,1
-1.9,1,0.547,1
-1.9,1.1,0.547,1
-1.9,1.2,0.547,1
-1.9,1.3,0.547,1
-1.9,1.4,0.547,1
-1.9,1.5,0.544,1
-1.9,1.6,0.547,1
-1.9,1.7,0.547,1
-1.9,1.8,0.547,1
-1.9,1.9,0.547,1
-1.9,2,0.548,1
-1.8,-2,0.028,1
-1.8,-1.9,0.577,1
-1.8,-1.8,0.579,1
-1.8,-1.7,0.577,1
-1.8,-1.6,0.576,1
-1.8,-1.5,0.576,1
-1.8,-1.4,0.577,1
-1.8,-1.3,0.577,1
-1.8,-1.2,0.576,1
-1.8,-1.1,0.576,1
-1.8,-1,0.577,1
-1.8,-0.9,0.578,1
-1.8,-0.8,0.58,1
-1.8,-0.7,0.576,1
-1.8,-0.6,0.577,1
-1.8,-0.5,0.577,1
-1.8,-0.4,0.576,1
-1.8,-0.3,0.578,1
-1.8,-0.2,0.576,1
-1.8,-0.1,0.576,1
-1.8,0,0.584,1
-1.8,0.1,0.576,1
-1.8,0.2,0.576,1
-1.8,0.3,0.578,1
-1.8,0.4,0.576,1
-1.8,0.5,0.577,1
-1.8,0.6,0.576,1
-1.8,0.7,0.576,1
-1.8,0.8,0.576,1
-1.8,0.9,0.576,1
-1.8,1,0.576,1
-1.8,1.1,0.576,1
-1.8,1.2,0.576,1
-1.8,1.3,0.576,1
-1.8,1.4,0.575,1
-1.8,1.5,0.576,1
-1.8,1.6,0.576,1
-1.8,1.7,0.576,1
-1.8,1.8,0.506,1
-1.8,1.9,0.577,1
-1.8,2,0.486,1
-1.7,-2,0.628,1
-1.7,-1.9,0.609,1
-1.7,-1.8,0.608,1
-1.7,-1.7,0.611,1
-1.7,-1.6,0.61,1
-1.7,-1.5,0.609,1
-1.7,-1.4,0.612,1
-1.7,-1.3,0.609,1
-1.7,-1.2,0.609,1
-1.7,-1.1,0.612,1
-1.7,-1,0.615,1
-1.7,-0.9,0.61,1
-1.7,-0.8,0.609,1
-1.7,-0.7,0.611,1
-1.7,-0.6,0.609,1
-1.7,-0.5,0.613,1
-1.7,-0.4,0.61,1
-1.7,-0.3,0.614,1
-1.7,-0.2,0.609,1
-1.7,-0.1,0.611,1
-1.7,0,0.609,1
-1.7,0.1,0.611,1
-1.7,0.2,0.609,1
-1.7,0.3,0.61,1
-1.7,0.4,0.61,1
-1.7,0.5,0.609,1
-1.7,0.6,0.609,1
-1.7,0.7,0.609,1
-1.7,0.8,0.609,1
-1.7,0.9,0.609,1
-1.7,1,0.609,1
-1.7,1.1,0.609,1
-1.7,1.2,0.609,1
-1.7,1.3,0.608,1
-1.7,1.4,0.609,1
-1.7,1.5,0.609,1
